start_mag,end_mag,inst_noise,other_scale,classIIyso_scale,other_frac_non_var,classiiyso_frac_non_var
13.2,13.3,0.00295027,0.00276415,0.13700000,0.00000000,0.00000000
13.3,13.4,0.00307444,0.00280473,0.13700000,0.00000000,0.00000000
13.4,13.5,0.00299441,0.00277857,0.13700000,0.00000000,0.00000000
13.5,13.6,0.00303311,0.00279122,0.13700000,0.00000000,0.00000000
13.6,13.7,0.00305868,0.00279958,0.13700000,0.00000000,0.00000000
13.7,13.8,0.00313621,0.00282491,0.13700000,0.00000000,0.00000000
13.8,13.9,0.00324063,0.00285904,0.13700000,0.03274813,0.00000000
13.9,14.0,0.00329809,0.00287782,0.13700000,0.10500802,0.00000000
14.0,14.1,0.00332932,0.00288802,0.13700000,0.16860981,0.00000000
14.1,14.2,0.00362748,0.00298546,0.13700000,0.22384072,0.00000000
14.2,14.3,0.00359296,0.00297418,0.13700000,0.27205784,0.00000000
14.3,14.4,0.00379501,0.00304021,0.13700000,0.31256528,0.00000000
14.4,14.5,0.00394835,0.00309032,0.13700000,0.34796688,0.00000000
14.5,14.6,0.00406026,0.00312689,0.13700000,0.37587785,0.00000000
14.6,14.7,0.00422871,0.00318194,0.13700000,0.39852966,0.00000000
14.7,14.8,0.00435853,0.00322437,0.13700000,0.41624378,0.00000000
14.8,14.9,0.00455540,0.00328870,0.13700000,0.42887079,0.00000000
14.9,15.0,0.00470638,0.00333804,0.13700000,0.43722564,0.00000000
15.0,15.1,0.00487246,0.00339232,0.13700000,0.44135555,0.00000000
15.1,15.2,0.00508324,0.00346120,0.13700000,0.44206472,0.00000000
15.2,15.3,0.00528930,0.00352854,0.13700000,0.43965916,0.00000000
15.3,15.4,0.00547680,0.00358982,0.13700000,0.43454781,0.00000000
15.4,15.5,0.00576334,0.00368346,0.13700000,0.42693538,0.00000000
15.5,15.6,0.00597051,0.00375116,0.13700000,0.41767047,0.00000000
15.6,15.7,0.00625898,0.00384544,0.13700000,0.40681591,0.00000000
15.7,15.8,0.00655683,0.00394277,0.13700000,0.39490043,0.00000000
15.8,15.9,0.00690232,0.00405568,0.13700000,0.38241902,0.00000000
15.9,16.0,0.00726262,0.00417342,0.13700000,0.36985780,0.00000000
16.0,16.1,0.00781348,0.00435345,0.13700000,0.35745364,0.00000000
16.1,16.2,0.00816895,0.00446961,0.13700000,0.34560912,0.00000000
16.2,16.3,0.00861147,0.00461423,0.13700000,0.33493135,0.00000000
16.3,16.4,0.00902692,0.00475000,0.13700000,0.32566831,0.00000000
16.4,16.5,0.00946840,0.00489427,0.13700000,0.31841303,0.00000000
16.5,16.6,0.00992548,0.00504365,0.13700000,0.31341308,0.00000000
16.6,16.7,0.01048336,0.00522596,0.13700000,0.31118252,0.00000000
16.7,16.8,0.01096751,0.00538418,0.13700000,0.31214791,0.00000000
16.8,16.9,0.01166572,0.00561236,0.13700000,0.31672003,0.00000000
16.9,17.0,0.01223661,0.00579893,0.13700000,0.32528467,0.00000000
17.0,17.1,0.01290298,0.00601669,0.13700000,0.33832715,0.00000000
17.1,17.2,0.01355291,0.00622909,0.13700000,0.35611657,0.00000000
17.2,17.3,0.01437452,0.00649759,0.13700000,0.37953410,0.00000000
17.3,17.4,0.01526012,0.00678701,0.13700000,0.40831887,0.00000000
17.4,17.5,0.01617080,0.00708462,0.13700000,0.44339218,0.00000000
17.5,17.6,0.01709889,0.00738792,0.13700000,0.48508857,0.00000000
17.6,17.7,0.01805564,0.00770058,0.13700000,0.53340506,0.00000000
17.7,17.8,0.01909988,0.00804184,0.13700000,0.55000000,0.00000000
17.8,17.9,0.02008204,0.00836281,0.13700000,0.55000000,0.00000000
17.9,18.0,0.02121142,0.00873189,0.13700000,0.55000000,0.00000000